Run,Question,Correct,Latency
1,0,1,0.5128781795501709
1,1,1,1.6269950866699219
1,2,1,3.145163059234619
1,3,1,0.5384728908538818
1,4,1,0.4472668170928955
1,5,1,0.45227885246276855
1,6,1,0.41692209243774414
1,7,1,0.5192921161651611
1,8,1,0.7309849262237549
1,9,1,0.38616108894348145
1,10,1,0.40808916091918945
1,11,0,1.8309533596038818
1,12,1,0.44585394859313965
1,13,0,0.6914069652557373
1,14,1,0.31800079345703125
1,15,1,0.49103879928588867
1,16,1,0.4119260311126709
1,17,0,0.4084131717681885
1,18,0,0.5827748775482178
1,19,1,0.3683810234069824
1,20,1,0.5641317367553711
1,21,1,0.43416595458984375
1,22,1,1.2148311138153076
1,23,1,0.42275214195251465
1,24,1,0.40454816818237305
1,25,1,0.513181209564209
1,26,1,0.4088890552520752
1,27,1,1.3284621238708496
1,28,1,1.5633668899536133
1,29,1,0.4391751289367676
1,30,1,1.923245906829834
1,31,1,0.4742710590362549
1,32,0,0.48029279708862305
1,33,1,1.7661278247833252
1,34,1,0.5099091529846191
1,35,1,1.4313671588897705
1,36,1,1.5339760780334473
1,37,1,2.1476359367370605
1,38,1,2.150506019592285
1,39,1,0.4152679443359375
1,40,1,0.47945594787597656
1,41,1,0.41939878463745117
1,42,1,0.6227757930755615
1,43,1,0.5127999782562256
1,44,1,0.4052128791809082
1,45,1,1.3342640399932861
1,46,1,1.0404579639434814
2,0,1,0.48759984970092773
2,1,1,2.4554388523101807
2,2,1,3.5188989639282227
2,3,1,0.5037429332733154
2,4,1,0.7846012115478516
2,5,1,0.45255017280578613
2,6,1,0.46548032760620117
2,7,1,0.6118240356445312
2,8,1,0.6963369846343994
2,9,1,0.47710323333740234
2,10,1,0.4024779796600342
2,11,1,1.899106740951538
2,12,1,0.504929780960083
2,13,0,0.8228549957275391
2,14,1,0.4080970287322998
2,15,1,0.3630387783050537
2,16,1,0.5110630989074707
2,17,0,0.49865198135375977
2,18,0,0.46794891357421875
2,19,1,1.7348759174346924
2,20,1,0.5100460052490234
2,21,1,0.4398019313812256
2,22,1,0.4776129722595215
2,23,1,0.33158206939697266
2,24,1,0.3324158191680908
2,25,1,0.42763686180114746
2,26,1,0.43842101097106934
2,27,1,1.434157133102417
2,28,1,2.760883092880249
2,29,1,0.40372681617736816
2,30,1,2.0505690574645996
2,31,1,2.289620876312256
2,32,0,2.2121810913085938
2,33,1,2.5604968070983887
2,34,1,1.2615501880645752
2,35,1,1.3953909873962402
2,36,1,1.748567819595337
2,37,1,1.4421517848968506
2,38,1,0.4720888137817383
2,39,1,1.312364101409912
2,40,1,0.6473968029022217
2,41,1,0.4737050533294678
2,42,1,1.5097458362579346
2,43,1,1.3856110572814941
2,44,1,0.5156521797180176
2,45,1,0.6113719940185547
2,46,1,1.3314659595489502
3,0,1,0.5070879459381104
3,1,1,1.661228895187378
3,2,1,3.150207996368408
3,3,1,1.7368459701538086
3,4,1,0.3933103084564209
3,5,0,0.4224529266357422
3,6,1,0.9203000068664551
3,7,1,0.5066640377044678
3,8,1,0.617455244064331
3,9,1,0.5101680755615234
3,10,1,0.40576910972595215
3,11,1,1.9446759223937988
3,12,1,0.5109298229217529
3,13,0,1.0207569599151611
3,14,1,0.46991586685180664
3,15,1,0.6532931327819824
3,16,1,0.5414690971374512
3,17,0,0.5348849296569824
3,18,0,0.4537971019744873
3,19,1,1.9439880847930908
3,20,1,0.5094218254089355
3,21,1,0.6547360420227051
3,22,1,1.45821213722229
3,23,1,0.5446069240570068
3,24,1,0.3635289669036865
3,25,1,0.45103001594543457
3,26,1,0.6478168964385986
3,27,1,0.42983508110046387
3,28,1,1.6828699111938477
3,29,1,0.45969080924987793
3,30,1,2.773419141769409
3,31,1,1.062065839767456
3,32,0,1.5506832599639893
3,33,1,0.4168570041656494
3,34,1,0.48158884048461914
3,35,1,0.39972901344299316
3,36,1,1.5462112426757812
3,37,1,1.8051199913024902
3,38,1,0.5248157978057861
3,39,1,0.6347758769989014
3,40,1,0.5078740119934082
3,41,1,0.4118337631225586
3,42,1,0.4353048801422119
3,43,1,1.8511662483215332
3,44,1,1.4961259365081787
3,45,1,0.5100688934326172
3,46,1,1.4317240715026855
4,0,1,0.5150351524353027
4,1,1,1.835136890411377
4,2,1,3.172652006149292
4,3,1,2.046096086502075
4,4,1,0.5236201286315918
4,5,1,0.5907819271087646
4,6,1,0.43682193756103516
4,7,1,0.4753398895263672
4,8,1,0.6518380641937256
4,9,1,0.3862268924713135
4,10,1,0.611605167388916
4,11,1,2.4730379581451416
4,12,1,0.4576418399810791
4,13,0,0.6313128471374512
4,14,1,0.4502139091491699
4,15,1,0.38819408416748047
4,16,1,0.5048909187316895
4,17,0,0.5105960369110107
4,18,0,0.4171938896179199
4,19,1,0.3983180522918701
4,20,1,2.4573252201080322
4,21,1,0.4069809913635254
4,22,1,1.3313610553741455
4,23,1,0.4537789821624756
4,24,1,0.4621548652648926
4,25,1,1.2464220523834229
4,26,1,1.208287000656128
4,27,1,0.6001589298248291
4,28,1,1.3926398754119873
4,29,1,0.4593510627746582
4,30,1,2.866392135620117
4,31,1,1.9434916973114014
4,32,0,0.40520191192626953
4,33,1,1.5368351936340332
4,34,1,1.501220703125
4,35,1,2.263230085372925
4,36,1,1.5308599472045898
4,37,1,1.992549180984497
4,38,1,1.6183621883392334
4,39,1,0.39998626708984375
4,40,1,0.4118208885192871
4,41,1,0.3400890827178955
4,42,1,1.3579521179199219
4,43,1,1.8801350593566895
4,44,1,0.5084941387176514
4,45,1,0.5128116607666016
4,46,1,1.4204330444335938
5,0,1,0.41145968437194824
5,1,1,0.5167248249053955
5,2,1,2.722428798675537
5,3,1,0.4492669105529785
5,4,1,0.4212327003479004
5,5,1,0.4576587677001953
5,6,1,0.5855119228363037
5,7,1,0.3939518928527832
5,8,1,0.4037168025970459
5,9,1,0.39861130714416504
5,10,1,0.43318986892700195
5,11,1,2.526129722595215
5,12,1,0.5113308429718018
5,13,0,0.9274470806121826
5,14,1,0.5021421909332275
5,15,1,0.41357421875
5,16,1,0.5066831111907959
5,17,0,0.507666826248169
5,18,0,0.49712586402893066
5,19,1,2.878358840942383
5,20,1,0.2962608337402344
5,21,1,0.3717658519744873
5,22,1,0.4129829406738281
5,23,1,0.5501461029052734
5,24,1,0.5099582672119141
5,25,1,0.4735450744628906
5,26,1,1.1611311435699463
5,27,1,0.40741991996765137
5,28,1,1.0693202018737793
5,29,1,0.3381989002227783
5,30,1,2.3375208377838135
5,31,1,0.40996503829956055
5,32,0,0.45578789710998535
