Run,Question,Correct,Latency
1,0,0,None
1,1,0,None
1,2,0,None
1,3,0,None
1,4,0,None
1,5,0,None
1,6,0,None
1,7,0,None
1,8,0,None
1,9,0,None
1,10,0,None
1,11,0,None
1,12,0,None
1,13,0,None
1,14,0,None
1,15,0,None
1,16,0,None
1,17,0,None
1,18,0,None
1,19,0,None
1,20,0,None
1,21,0,None
1,22,0,None
1,23,0,None
1,24,0,None
1,25,0,None
1,26,0,None
1,27,0,None
1,28,0,None
1,29,0,None
1,30,0,None
1,31,0,None
1,32,0,None
1,33,0,None
1,34,0,None
1,35,0,None
1,36,0,None
1,37,0,None
1,38,0,None
1,39,0,None
1,40,0,None
1,41,0,None
1,42,0,None
1,43,0,None
1,44,0,None
1,45,0,None
1,46,0,None
2,0,0,None
2,1,0,None
2,2,0,None
2,3,0,None
2,4,0,None
2,5,0,None
2,6,0,None
2,7,0,None
2,8,0,None
2,9,0,None
2,10,0,None
